shot,match,tournament,round,date,attacker_team,gk_team,attacker,goalkeeper,goal,missed,saved,shot_order,take_first,FT_goals,neutral_stadium,attacker_home,game_data,additional
49,5,WC,last16,25-Jun-1990,Ireland,Romania,David O'Leary,Silviu Lung,1,0,0,5,0,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/928073,
50,6,WC,quarter,30-Jun-1990,Argentina,Yugoslavia,Jose Serrizuela,Tomislav Ivkovic,1,0,0,1,1,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/928078,
51,6,WC,quarter,30-Jun-1990,Argentina,Yugoslavia,Jorge Burruchaga,Tomislav Ivkovic,1,0,0,2,1,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/928078,
52,6,WC,quarter,30-Jun-1990,Argentina,Yugoslavia,Diego Maradona,Tomislav Ivkovic,0,0,1,3,1,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/928078,
53,6,WC,quarter,30-Jun-1990,Argentina,Yugoslavia,Pedro Troglio,Tomislav Ivkovic,0,1,0,4,1,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/928078,
54,6,WC,quarter,30-Jun-1990,Argentina,Yugoslavia,Gustavo Dezotti,Tomislav Ivkovic,1,0,0,5,1,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/928078,
55,6,WC,quarter,30-Jun-1990,Yugoslavia,Argentina,Dragan Stojkovic,Sergio Goycochea,0,1,0,1,0,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/928078,
56,6,WC,quarter,30-Jun-1990,Yugoslavia,Argentina,Robert Prosinecki,Sergio Goycochea,1,0,0,2,0,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/928078,
57,6,WC,quarter,30-Jun-1990,Yugoslavia,Argentina,Dejan Savicevic,Sergio Goycochea,1,0,0,3,0,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/928078,
58,6,WC,quarter,30-Jun-1990,Yugoslavia,Argentina,Dragoljub Brnovic,Sergio Goycochea,0,0,1,4,0,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/928078,
59,6,WC,quarter,30-Jun-1990,Yugoslavia,Argentina,Faruk Hadzibegic,Sergio Goycochea,0,0,1,5,0,0,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/928078,
60,7,WC,semi,3-Jul-1990,Italy,Argentina,Franco Baresi,Sergio Goycochea,1,0,0,1,1,1,0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/928082,
61,7,WC,semi,3-Jul-1990,Italy,Argentina,Roberto Baggio,Sergio Goycochea,1,0,0,2,1,1,0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/928082,
62,7,WC,semi,3-Jul-1990,Italy,Argentina,Luigi De Agostini,Sergio Goycochea,1,0,0,3,1,1,0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/928082,
63,7,WC,semi,3-Jul-1990,Italy,Argentina,Roberto Donadoni,Sergio Goycochea,0,0,1,4,1,1,0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/928082,
64,7,WC,semi,3-Jul-1990,Italy,Argentina,Aldo Serena,Sergio Goycochea,0,0,1,5,1,1,0,1,https://www.transfermarkt.us/spielbericht/index/spielbericht/928082,
65,7,WC,semi,3-Jul-1990,Argentina,Italy,Jose Serrizuela,Walter Zenga,1,0,0,1,0,1,0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/928082,
66,7,WC,semi,3-Jul-1990,Argentina,Italy,Jorge Burruchaga,Walter Zenga,1,0,0,2,0,1,0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/928082,
67,7,WC,semi,3-Jul-1990,Argentina,Italy,Julio Olarticoechea,Walter Zenga,1,0,0,3,0,1,0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/928082,
68,7,WC,semi,3-Jul-1990,Argentina,Italy,Diego Maradona,Walter Zenga,1,0,0,4,0,1,0,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/928082,
69,8,WC,semi,4-Jul-1990,England,Germany,Gary Lineker,Bodo Illgner,1,0,0,1,1,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/928083,
70,8,WC,semi,4-Jul-1990,England,Germany,Peter Beardsley,Bodo Illgner,1,0,0,2,1,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/928083,
71,8,WC,semi,4-Jul-1990,England,Germany,David Platt,Bodo Illgner,1,0,0,3,1,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/928083,
72,8,WC,semi,4-Jul-1990,England,Germany,Stuart Pearce,Bodo Illgner,0,0,1,4,1,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/928083,
73,8,WC,semi,4-Jul-1990,England,Germany,Chris Waddle,Bodo Illgner,0,1,0,5,1,1,1,0,https://www.transfermarkt.us/spielbericht/index/spielbericht/928083,
